object/property,"label (0 = false, 1 = true)"
plate/eaten_in_summer,0
lime/dangerous,0
chair/an_animal,0
building/expensive,1
pyramid/lives_in_water,0
magazine/man_made,1
inn/has_shelves,0
worm/cold,1
cheese/slimy,1
buckle/worn_for_warmth,0
bicycle/light_weight,0
hut/edible,0
veil/fast,0
sandwich/produces_noise,0
lantern/edible,0
buckle/expensive,0
gate/used_for_killing,0
baseball_glove/heavy,0
brush/pairs,0
pizza/unhealthy,1
sandwich/wet,0
baseball_glove/used_for_holding_things,0
pillow/squishy,1
telephone/used_by_children,0
veil/loud,0
magazine/pairs,0
buckle/lives_in_water,0
peach/a_tool,0
chair/swims,0
mittens/cold,0
saxophone/worn_for_warmth,0
building/smelly,0
ostrich/words_on_it,0
inn/words_on_it,1
cauliflower/smelly,0
worm/words_on_it,0
sardine/hand_held,0
hawk/requires_gasoline,0
corn/used_for_cleaning,0
axe/swims,0
bucket/pairs,0
armour/expensive,1
cow/flies,0
onions/worn_on_feet,0
eagle/a_toy,0
seaweed/worn_for_warmth,0
peach/worn_on_feet,0
sandwich/used_for_transportation,0
house/loud,0
baseball_glove/has_peel,0
gate/used_by_children,
vest/used_by_children,
sardine/edible,
oven/expensive,
cabbage/produces_noise,
cucumber/a_tool,
armour/smelly,
chicken/used_for_transportation,
octopus/flies,
cupboard/an_animal,
cucumber/man_made,
octopus/used_for_music,
building/an_animal,
gate/found_on_walls,
cupboard/used_for_holding_things,
laptop/fragile,
spoon/squishy,
crowbar/used_for_music,
book/fun,
gate/hand_held,
submarine/has_peel,
deer/used_for_eating,
elk/used_for_cooking,
baseball_glove/requires_gasoline,
building/used_for_music,
mandarin/sharp,
onions/pairs,
submarine/edible,
cucumber/dangerous,
pie/an_animal,
elephant/requires_gasoline,
mittens/fast,
train/used_for_cleaning,
brush/worn_for_warmth,
peg/fragile,
doll/edible,
seaweed/an_animal,
train/squishy,
pyramid/worn_on_feet,
shell/sharp,
lobster/worn_on_feet,
pepper/flies,
book/used_for_transportation,
onions/large,
oven/loud,
rake/slimy,
elk/flies,
pistol/heavy,
pillow/used_for_cooking,
veil/used_for_cleaning,
