affordance/property,"label (0 = false, 1 = true)"
pat/has_peel,0
admire/swims,1
ascend/edible,0
fall/produces_noise,0
admire/worn_on_feet,1
pour/hard,0
admire/used_for_transportation,1
flip/lives_in_water,0
admire/fast,1
brush/used_for_cleaning,0
pour/fragile,0
sit/an_animal,0
walk/lives_in_water,0
skate/edible,0
rinse/light_weight,1
sit/used_for_cooking,0
fill/eaten_in_summer,0
admire/loud,0
sit/used_for_cooking,0
walk/large,0
stand/used_for_eating,0
pick/an_animal,0
pick/used_by_children,0
pick/smooth,1
walk/eaten_in_summer,0
ask/found_on_walls,0
type/slimy,0
rinse/used_for_cleaning,0
attack/fragile,0
eat/used_for_cooking,0
ask/used_by_children,0
feed/worn_for_warmth,0
pick/eaten_in_summer,1
open/man_made,1
eat/loud,0
adjust/a_tool,0
rinse/fragile,1
applaud/used_by_children,1
admire/used_for_transportation,1
clean/worn_on_feet,1
sit/found_on_walls,0
admire/fragile,1
clean/slimy,1
walk/a_toy,0
sit/squishy,1
waddle/used_by_children,0
arrange/heavy,1
stand/has_shelves,0
wait/smooth,0
walk/lives_in_water,0
lean/electrical,
adjust/slimy,
lean/used_by_children,
fill/hand_held,
clean/an_animal,
fill/fast,
stand/hand_held,
sit/edible,
drink/used_for_music,
stand/sharp,
ask/hand_held,
apply/unhealthy,
feed/smelly,
fill/requires_gasoline,
wipe/shiny,
wipe/edible,
race/sharp,
throw/hot,
work/hand_held,
adjust/requires_gasoline,
fall/produces_noise,
repair/an_animal,
throw/used_for_cleaning,
eat/has_shelves,
jump/used_for_transportation,
admire/man_made,
wipe/man_made,
sit/hard,
sit/light_weight,
sit/loud,
sit/an_animal,
sit/used_for_transportation,
guard/used_for_cleaning,
photograph/requires_gasoline,
sit/unhealthy,
pick/pairs,
sit/cold,
twirl/unhealthy,
sit/fragile,
cook/smooth,
eat/squishy,
stack/lives_in_water,
sit/loud,
fill/found_on_walls,
type/used_by_children,
stroke/worn_for_warmth,
fill/found_on_walls,
fill/a_toy,
yank/has_shelves,
walk/electrical,
