object/affordance,"label (0 = false, 1 = true)"
keyboard/say,0
broccoli/pick,1
keyboard/snuggle,0
broccoli/coach,0
hair_drier/work,1
broccoli/curl,0
dining_table/uncork,0
bowl/drench,1
hair_drier/wheel,0
bowl/pick,1
broccoli/rock,0
dining_table/work,1
chair/forage,0
bottle/clean,1
broccoli/tattoo,0
bottle/snuggle,0
bottle/rinse,1
zebra/examine,1
broccoli/pick,1
bottle/smash,1
sheep/shear,1
chair/officiate,0
zebra/scratch,1
hair_drier/whip,0
elephant/pee,0
chair/push,1
bowl/run,0
broccoli/clean,1
horse/applaud,1
truck/attack,1
bottle/wash,1
bottle/pick,1
hair_drier/turn,1
zebra/ask,1
bottle/dial,0
horse/admire,1
sheep/preach,0
horse/clear,0
broccoli/eat,1
bottle/spray,1
chair/press,1
elephant/claw,1
chair/arch,0
sheep/admire,1
dining_table/unveil,1
bowl/eat,1
chair/sit,1
bowl/examine,1
keyboard/write,1
bottle/hike,0
bottle/arrange,
dining_table/spin,
zebra/eat,
bottle/spray,
chair/tackle,
horse/admire,
bottle/shelve,
hot_dog/run,
tennis_racket/yank,
airplane/ascend,
bowl/till,
tennis_racket/break,
hair_drier/turn,
dining_table/sew,
bowl/empty,
elephant/feed,
hair_drier/laugh,
zebra/swoop,
chair/fuel,
tennis_racket/swing,
truck/drag,
chair/slouch,
broccoli/stir,
elephant/browse,
tennis_racket/attack,
hair_drier/drip,
tennis_racket/carry,
dining_table/clean,
dining_table/admire,
sheep/ignite,
elephant/smash,
zebra/seal,
sheep/pat,
chair/stitch,
tennis_racket/distribute,
truck/admire,
hot_dog/bite,
truck/climb,
horse/pat,
sheep/sharpen,
chair/attack,
bottle/pout,
chair/nail,
chair/lap,
zebra/bow,
horse/run,
bottle/clean,
zebra/fetch,
zebra/ask,
truck/spill,
