word,freq
ail,4.147161395713769e-07
bathe,4.822402314465544e-07
braid,9.58080865768448e-07
brew,2.324680243278444e-06
buckle,2.8276062284435433e-06
disembark,1.2580052685943616e-07
exterminate,1.888354364857091e-07
floss,9.891451092895574e-07
frisk,1.4880551252878471e-07
lather,2.514429907924819e-07
rock,9.316789224285235e-05
slip,1.257284716303378e-05
spank,5.284379269027671e-06
stampede,8.129108005466439e-07
unveil,7.129301454222137e-07
whistle,2.5365470092545664e-06
wring,1.839959789863466e-07
autograph,1.9485646314469416e-06
bet,1.5555653622645387e-05
bulldoze,4.81145499326739e-08
bury,2.866981459662147e-06
button,6.518744665865015e-05
carve,9.292753609793997e-07
dock,5.871504984802143e-06
duck,8.07798050296158e-06
eject,9.122865234836538e-07
handcuff,1.3427933445408536e-07
hurl,3.2610820957044854e-07
imitate,6.914394416155689e-07
inflate,5.031084405184022e-07
lace,7.255557631616291e-06
misbehave,1.0657148887608215e-07
reassure,5.976847095361854e-07
skid,1.559688853249177e-06
slap,1.9584386858609635e-06
slouch,2.3303158695922175e-07
spin,1.2363736741298726e-05
spit,2.019590500129622e-06
steer,2.1074442162904275e-06
tattoo,6.6736001832559575e-06
tow,2.7995685972536887e-06
uncork,2.7264879105279324e-08
waddle,1.6841604806904415e-07
wag,6.239270581053091e-07
wet,2.3337009530293723e-05
wrap,1.1583405441832972e-05
butter,9.490773282860652e-06
color,0.00011022026225373354
complain,4.474363361706956e-06
confront,2.006415662505853e-06
crest,5.343926061605513e-06
gasp,1.0380128973652772e-06
grieve,7.309268779979679e-07
grill,1.0004918808708246e-05
ignore,1.4004721650657658e-05
interrogate,2.3787494724689017e-07
lead,6.666493108181138e-05
lock,2.171303199667499e-05
mold,5.792870630317037e-06
pilot,2.1377357077269614e-05
plant,5.195353447968884e-05
pucker,1.789272326740103e-07
punt,1.8695390224341664e-06
rear,2.178052291484957e-05
soak,1.659433389681098e-06
spear,2.8710257240441743e-06
storm,2.170161438948597e-05
subdue,2.7854102569768237e-07
tackle,6.288747204104538e-06
unpack,7.228149325040769e-07
unplug,4.5794342284794055e-07
apprehend,2.897976428690826e-07
ascend,7.798122286210645e-07
bandage,5.904850408088072e-07
calm,7.676153321770564e-06
commute,1.7121054206580303e-06
crown,1.6246369097030205e-05
curl,3.5702492769359356e-06
discipline,1.1449772994540596e-05
encourage,2.148461838397877e-05
flick,2.172389540792457e-06
gather,7.505932234110022e-06
nag,1.1315178509930805e-06
package,7.651530435208989e-05
pay,0.0001260586280070786
ram,2.328413845711319e-05
recuperate,1.2568734599856398e-07
scold,1.6607144799425218e-07
shave,2.5173540720630426e-06
shiver,5.242996053225663e-07
skip,4.3595478179528273e-05
staple,1.84773511986597e-06
strike,1.8168504046069338e-05
submerge,1.5689599268699314e-07
tip,2.8110036694203777e-05
tune,1.0467404101447222e-05
turn,7.837582305505195e-05
wink,2.1381933096558325e-06
flip,7.731087018570786e-06
garden,0.00011612257584942276
land,0.00010062650121735874
light,0.00012362046053404594
mourn,7.600777795520915e-07
punch,6.705813797933165e-06
release,0.00012229469700627803
shell,2.0098694350171926e-05
slither,2.365245824930358e-07
telephone,6.136771066356009e-05
unlock,5.879557412774368e-06
wait,3.8053528542067795e-05
beg,2.553198255561849e-06
board,0.0002072000644254255
cheer,3.560249357599047e-06
chop,2.259266584179702e-06
clench,9.234777689509296e-08
decompose,3.6536733283695024e-07
fuel,3.81968730780595e-05
immerse,4.640786060648743e-07
recover,9.364634189115677e-06
shred,8.312265860664085e-07
soar,1.6876983582897737e-06
spill,3.7960919278356205e-06
stir,4.716288427518333e-06
swoop,4.5611984501199124e-07
twist,7.064880079050179e-06
bother,4.987533190478065e-06
bounce,4.27664615473401e-06
bubble,8.592030410495679e-06
buy,0.0004007970168009363
cheerlead,0.0
chisel,6.430273040745672e-07
craft,1.6126608135074207e-05
decorate,2.0364300559726653e-06
educate,4.601748420618603e-06
heave,2.892493011120984e-07
milk,2.0446619146372566e-05
mop,1.7934873381105154e-06
mow,5.051086195251951e-07
paste,8.696441706044424e-06
poke,1.4539545124647184e-06
pot,1.2613209799693786e-05
pout,2.8874291432940297e-07
sneeze,3.512733885671335e-07
sow,1.2509275620015441e-06
sprint,7.5885581653350255e-06
squint,1.9553164552162135e-07
stitch,4.926805804437678e-06
swarm,1.1300279615572889e-06
weed,5.890864766193745e-06
whip,3.3401496596915493e-06
whirl,6.074972950343888e-07
wrinkle,1.513451544491659e-06
brawl,5.539568936593853e-07
coach,2.3919175777828425e-05
comb,2.2710578833490156e-06
cram,8.950713242661634e-07
curtsy,2.1136525767880977e-08
dissect,2.523269723437767e-07
dye,4.453226835939075e-06
glare,1.5290119614674317e-06
prowl,3.350748657033399e-07
serve,3.5805990812444514e-05
signal,3.28304620773264e-05
ski,2.7967185860932776e-05
snow,3.449952852424363e-05
spoil,1.3848263745958005e-06
sweep,3.53579253467989e-06
vote,5.696805252421124e-05
wax,6.315513502003734e-06
weep,1.0133667892132819e-06
whisk,5.769374869018218e-07
wipe,2.772134922554177e-06
arch,9.796047432756932e-06
arrest,7.467808822240549e-06
baptize,1.4719268526135605e-07
boat,3.327520334303243e-05
call,0.00019475778992365222
distract,7.632214755325242e-07
fill,3.4293824261002583e-05
knock,5.069734693474797e-06
peel,3.718300575624598e-06
perspire,3.4306484906267045e-08
pin,2.447092954748911e-05
preach,1.5018592875259482e-06
rain,2.5777896271078534e-05
shrug,7.029955977894497e-07
slice,4.51628613799226e-06
stumble,1.0846317036797004e-06
tap,8.557755147895859e-06
break,4.999761601937644e-05
caress,5.757071328883749e-07
circle,2.3380394876496678e-05
clip,3.0504614900344484e-05
construct,8.265689985021027e-06
cover,9.22050607080185e-05
deflect,3.929122370031806e-07
