affordancesNo,affordancesYes,cocoAnnID,cocoImgID,objectHuman,objectUID
"bother,balloon,shoot","ask,wave,walk",1215737,100510,person,person
"videotape,grimace,submerge","lean,stand,sit",1584203,100510,chair,chair
"preach,stitch,block","lean,stand,sit",1594328,100510,chair,chair
"call,smear,celebrate","bake,work,admire",215456,100510,person,person
"cheerlead,spread,pinch","ask,talk,admire",217070,100510,person,person
"pat,clear,hitchhike","nuzzle,admire,brush",56699,100510,horse,horse
"claw,clap,rehabilitate","autograph,walk,admire",1823260,101780,giraffe,giraffe
"scrap,bite,wet","walk,apply,admire",1823356,101780,giraffe,giraffe
"nip,decorate,buy","call,feed,admire",599670,101780,giraffe,giraffe
"shoot,paint,claw","wheel,walk,feed",599981,101780,giraffe,giraffe
"recover,tie,plant","turn,bake,cook",1122604,102707,oven,oven
"twist,videotape,unplug","drink,throw,clean",676264,102707,cup,cup
"pounce,sweep,hike","empty,rinse,clean",79735,102707,bottle,bottle
"knead,salute,lather","dry,wash,clean",1134964,104572,sink,sink
"grill,stumble,sketch","lean,stand,drink",1135042,104572,sink,sink
"load,bike,erupt","wash,rinse,clean",1136587,104572,sink,sink
"walk,clench,staple","wash,rinse,clean",1136691,104572,sink,sink
"arrest,teach,recuperate","poop,stand,sit",1623888,104572,toilet,toilet
"laugh,urinate,moisturize","applaud,wash,clean",1646325,104572,sink,sink
"knead,say,hike","spear,taste,eat",1059109,105014,broccoli,broccoli
"wash,unload,wad","bake,arrange,eat",1560469,105014,broccoli,broccoli
"spy,wrinkle,race","cook,cry,eat",1563380,105014,carrot,carrot
"shovel,wash,hoist","wipe,stand,eat",2130446,105014,dining table,dining_table
"ask,beg,lead","stir,taste,eat",688351,105014,fork,fork
"hunch,suck,ford","empty,carry,eat",713732,105014,bowl,bowl
"flip,sprinkle,attach","aim,drive,sit",1192747,105455,car,car
"fetch,craft,frown","ask,photograph,admire",335171,105455,clock,clock
"paste,recover,frisk","ask,photograph,admire",337557,105455,clock,clock
"call,knead,instal","ask,pick,clean",1106399,108026,mouse,mouse
"snuggle,poke,say","wipe,work,type",1117740,108026,keyboard,keyboard
"skip,gnaw,spill","talk,wave,walk",458854,108026,person,person
"stretch,wave,crest","cook,barbecue,clean",1120978,109976,microwave,microwave
"inject,wash,cry","wipe,cook,clean",1642703,109976,oven,oven
"wring,train,arrest","bake,cook,clean",1980630,109976,oven,oven
"mourn,wash,plunge","drink,carry,clean",2093461,109976,bottle,bottle
"coach,sign,grin","arch,open,check",2094688,109976,bottle,bottle
"shred,ascend,feed","fill,empty,open",96220,109976,bottle,bottle
"steer,pay,boat","ascend,ask,aim",96894,109976,bottle,bottle
"flick,eat,shake","ask,feed,admire",1412121,110211,zebra,zebra
"videotape,turn,farm","browse,chase,admire",1412251,110211,zebra,zebra
"drum,recover,rest","ask,restrain,admire",1822511,110211,zebra,zebra
"tilt,bow,wheel","photograph,walk,admire",589742,110211,zebra,zebra
"clap,queue,leak","talk,walk,admire",590598,110211,zebra,zebra
"buy,apprehend,crash","urinate,pee,sit",1092744,111951,toilet,toilet
"pray,make,din","wipe,lean,clean",1130164,111951,sink,sink
"recuperate,cover,phone","soak,wash,clean",1130645,111951,sink,sink
"sign,applaud,rinse","adjust,admire,clean",1668834,111951,vase,vase
"yawn,bother,jog","unpack,speak,eat",1043315,113589,banana,banana
"smile,submerge,mow","pick,bite,eat",1047654,113589,apple,apple
"hike,photograph,bandage","peel,bite,eat",1049193,113589,apple,apple
"fuel,skate,hoist","weigh,smell,eat",1072345,113589,pizza,pizza
"uncork,cling,yank","bite,chew,eat",1072662,113589,pizza,pizza
"examine,descend,misbehave","empty,pick,aim",2108886,113589,bowl,bowl
"braid,offer,mourn","admire,bite,eat",2218175,113589,sandwich,sandwich
"offer,spank,lap","work,sit,admire",1204623,119995,person,person
"perform,strike,plant","talk,yawn,sit",1251248,119995,person,person
"haul,cover,squint","call,talk,celebrate",2001021,119995,person,person
"photograph,fix,baptize","arrest,run,sit",2157699,119995,person,person
"cram,braid,ignore","cheer,applaud,compete",511443,119995,person,person
"spear,crouch,smell","aim,swing,hit",657937,119995,tennis racket,tennis_racket
"bandage,sketch,laugh","turn,buy,talk",1637207,123480,cell phone,cell_phone
"preach,queue,say","adjust,rinse,throw",341816,123480,toothbrush,toothbrush
"provide,duck,type","brush,put,clean",342738,123480,toothbrush,toothbrush
"spank,shoot,tap","tune,wink,race",477144,123480,person,person
"punt,wrinkle,whirl","bike,drive,sit",132335,124277,car,car
"ail,gather,pay","drive,applaud,admire",1342966,124277,car,car
"shear,peel,trip","board,work,run",1366652,124277,train,train
"tug,make,fetch","drive,sell,wash",1372217,124277,truck,truck
"grimace,assemble,swim","attack,drive,clean",1372916,124277,truck,truck
"fix,handcuff,skate","collide,aim,applaud",174076,124277,train,train
"plant,spank,discuss","ask,drive,check",1779363,124277,car,car
"spill,teach,dock","whistle,videotape,walk",1819806,125072,cow,cow
"aim,fold,carve","call,talk,check",278044,125072,cow,cow
"imitate,crest,fish","photograph,talk,admire",278242,125072,cow,cow
"pray,train,kick","milk,call,walk",72200,125072,cow,cow
"collide,throw,wag","call,feed,admire",72350,125072,cow,cow
"scratch,sneeze,leap","call,run,admire",74584,125072,cow,cow
"clip,drag,reassure","drive,walk,wash",1373834,128051,truck,truck
"swarm,wrap,suck","drive,lean,sit",1373989,128051,truck,truck
"cart,work,give","poop,walk,dust",167880,128051,bus,bus
"shrug,laugh,educate","wipe,open,adjust",2074862,128051,umbrella,umbrella
"cook,open,sing","ask,stand,admire",1480760,128675,surfboard,surfboard
"wrinkle,surf,douse","arrest,call,ask",1710792,128675,person,person
"stumble,braid,sprout","call,swim,help",2160360,128675,person,person
"slap,stir,boat","swim,wave,admire",452598,128675,person,person
"massage,catch,clean","wipe,swim,wave",621669,128675,kite,kite
"give,jump,help","swim,surf,fall",648357,128675,surfboard,surfboard
"ram,rot,tune","swim,surf,check",648878,128675,surfboard,surfboard
"signal,exterminate,submerge","wipe,walk,sit",1618750,129062,dining table,dining_table
"parachute,dust,rinse","drink,sit,eat",1621394,129062,dining table,dining_table
"cook,pout,light","stand,sit,eat",1965911,129062,dining table,dining_table
"swing,slice,duck","pay,walk,pull",2173424,129062,parking meter,parking_meter
"squeeze,floss,glue","walk,sit,admire",281039,129062,umbrella,umbrella
"retrieve,carry,blossom","work,stand,walk",419439,129062,parking meter,parking_meter
"phone,salute,plant","talk,walk,race",567373,129062,person,person
"spy,mold,prick","carve,bite,eat",1062384,130613,carrot,carrot
"hang,hunt,open","cook,guard,eat",1063057,130613,carrot,carrot
"squint,arrange,walk","spear,pick,rinse",2102209,130613,fork,fork
"pounce,pout,vacuum","clear,sit,eat",2131300,130613,dining table,dining_table
"sow,whip,ram","carve,pick,clean",695332,130613,knife,knife
"dance,bandage,fish","autograph,aim,applaud",157106,131386,airplane,airplane
"raft,hurl,perspire","climb,wave,admire",159116,131386,airplane,airplane
"shake,spray,glue","ask,photograph,admire",161511,131386,airplane,airplane
"dip,coach,taxi","aim,parachute,admire",161689,131386,airplane,airplane
"submerge,clip,nuzzle","wave,walk,admire",217399,134856,person,person
"frown,drag,dip","jog,adjust,push",222576,134856,person,person
"arch,shrug,stack","ask,race,arrange",253153,134856,person,person
"duck,weed,twist","scratch,run,admire",274113,134856,horse,horse
"apprehend,swim,cook","race,run,admire",275139,134856,horse,horse
"clip,floss,release","arch,run,admire",55603,134856,horse,horse
"distract,uncork,rehabilitate","unplug,wipe,clean",1128478,135561,toaster,toaster
