task,uids,word1,word2
OP,accordion/a_tool,accordion,tool
OP,accordion/a_toy,accordion,toy
OP,accordion/an_animal,accordion,animal
OP,accordion/flies,accordion,fly
OP,accordion/swims,accordion,swim
OP,accordion/pairs,accordion,pairs
OP,accordion/eaten_in_summer,accordion,summer
OP,accordion/found_on_walls,accordion,walls
OP,accordion/has_peel,accordion,peel
OP,accordion/has_shelves,accordion,shelves
OP,accordion/produces_noise,accordion,sound
OP,accordion/cold,accordion,cold
OP,accordion/dangerous,accordion,dangerous
OP,accordion/decorative,accordion,decorative
OP,accordion/edible,accordion,edible
OP,accordion/electrical,accordion,electricity
OP,accordion/expensive,accordion,expensive
OP,accordion/fast,accordion,fast
OP,accordion/fun,accordion,fun
OP,accordion/hand_held,accordion,hand-held
OP,accordion/hard,accordion,hard
OP,accordion/heavy,accordion,heavy
OP,accordion/large,accordion,big
OP,accordion/loud,accordion,loud
OP,accordion/sharp,accordion,sharp
OP,accordion/shiny,accordion,shiny
OP,accordion/slimy,accordion,slimy
OP,accordion/smelly,accordion,smelly
OP,accordion/smooth,accordion,smooth
OP,accordion/tall,accordion,tall
OP,accordion/lives_in_water,accordion,water
OP,accordion/requires_gasoline,accordion,gasoline
OP,accordion/used_for_eating,accordion,eating
OP,accordion/used_for_cooking,accordion,cooking
OP,accordion/used_for_cleaning,accordion,cleaning
OP,accordion/used_by_children,accordion,children
OP,accordion/used_for_holding_things,accordion,holding
OP,accordion/used_for_killing,accordion,killing
OP,accordion/used_for_music,accordion,music
OP,accordion/used_for_transportation,accordion,transportation
OP,accordion/worn_for_warmth,accordion,warmth
OP,accordion/worn_on_feet,accordion,feet
OP,accordion/hot,accordion,hot
OP,accordion/light_weight,accordion,light
OP,accordion/squishy,accordion,squishy
OP,accordion/unhealthy,accordion,unhealthy
OP,accordion/wet,accordion,wet
OP,accordion/words_on_it,accordion,words
OP,accordion/man_made,accordion,man-made
OP,accordion/fragile,accordion,fragile
OP,airplane/a_tool,airplane,tool
OP,airplane/a_toy,airplane,toy
OP,airplane/an_animal,airplane,animal
OP,airplane/flies,airplane,fly
OP,airplane/swims,airplane,swim
OP,airplane/pairs,airplane,pairs
OP,airplane/eaten_in_summer,airplane,summer
OP,airplane/found_on_walls,airplane,walls
OP,airplane/has_peel,airplane,peel
OP,airplane/has_shelves,airplane,shelves
OP,airplane/produces_noise,airplane,sound
OP,airplane/cold,airplane,cold
OP,airplane/dangerous,airplane,dangerous
OP,airplane/decorative,airplane,decorative
OP,airplane/edible,airplane,edible
OP,airplane/electrical,airplane,electricity
OP,airplane/expensive,airplane,expensive
OP,airplane/fast,airplane,fast
OP,airplane/fun,airplane,fun
OP,airplane/hand_held,airplane,hand-held
OP,airplane/hard,airplane,hard
OP,airplane/heavy,airplane,heavy
OP,airplane/large,airplane,big
OP,airplane/loud,airplane,loud
OP,airplane/sharp,airplane,sharp
OP,airplane/shiny,airplane,shiny
OP,airplane/slimy,airplane,slimy
OP,airplane/smelly,airplane,smelly
OP,airplane/smooth,airplane,smooth
OP,airplane/tall,airplane,tall
OP,airplane/lives_in_water,airplane,water
OP,airplane/requires_gasoline,airplane,gasoline
OP,airplane/used_for_eating,airplane,eating
OP,airplane/used_for_cooking,airplane,cooking
OP,airplane/used_for_cleaning,airplane,cleaning
OP,airplane/used_by_children,airplane,children
OP,airplane/used_for_holding_things,airplane,holding
OP,airplane/used_for_killing,airplane,killing
OP,airplane/used_for_music,airplane,music
OP,airplane/used_for_transportation,airplane,transportation
OP,airplane/worn_for_warmth,airplane,warmth
OP,airplane/worn_on_feet,airplane,feet
OP,airplane/hot,airplane,hot
OP,airplane/light_weight,airplane,light
OP,airplane/squishy,airplane,squishy
OP,airplane/unhealthy,airplane,unhealthy
OP,airplane/wet,airplane,wet
OP,airplane/words_on_it,airplane,words
OP,airplane/man_made,airplane,man-made
OP,airplane/fragile,airplane,fragile
OP,alligator/a_tool,alligator,tool
OP,alligator/a_toy,alligator,toy
OP,alligator/an_animal,alligator,animal
OP,alligator/flies,alligator,fly
OP,alligator/swims,alligator,swim
OP,alligator/pairs,alligator,pairs
OP,alligator/eaten_in_summer,alligator,summer
OP,alligator/found_on_walls,alligator,walls
OP,alligator/has_peel,alligator,peel
OP,alligator/has_shelves,alligator,shelves
OP,alligator/produces_noise,alligator,sound
OP,alligator/cold,alligator,cold
OP,alligator/dangerous,alligator,dangerous
OP,alligator/decorative,alligator,decorative
OP,alligator/edible,alligator,edible
OP,alligator/electrical,alligator,electricity
OP,alligator/expensive,alligator,expensive
OP,alligator/fast,alligator,fast
OP,alligator/fun,alligator,fun
OP,alligator/hand_held,alligator,hand-held
OP,alligator/hard,alligator,hard
OP,alligator/heavy,alligator,heavy
OP,alligator/large,alligator,big
OP,alligator/loud,alligator,loud
OP,alligator/sharp,alligator,sharp
OP,alligator/shiny,alligator,shiny
OP,alligator/slimy,alligator,slimy
OP,alligator/smelly,alligator,smelly
OP,alligator/smooth,alligator,smooth
OP,alligator/tall,alligator,tall
OP,alligator/lives_in_water,alligator,water
OP,alligator/requires_gasoline,alligator,gasoline
OP,alligator/used_for_eating,alligator,eating
OP,alligator/used_for_cooking,alligator,cooking
OP,alligator/used_for_cleaning,alligator,cleaning
OP,alligator/used_by_children,alligator,children
OP,alligator/used_for_holding_things,alligator,holding
OP,alligator/used_for_killing,alligator,killing
OP,alligator/used_for_music,alligator,music
OP,alligator/used_for_transportation,alligator,transportation
OP,alligator/worn_for_warmth,alligator,warmth
OP,alligator/worn_on_feet,alligator,feet
OP,alligator/hot,alligator,hot
OP,alligator/light_weight,alligator,light
OP,alligator/squishy,alligator,squishy
OP,alligator/unhealthy,alligator,unhealthy
OP,alligator/wet,alligator,wet
OP,alligator/words_on_it,alligator,words
OP,alligator/man_made,alligator,man-made
OP,alligator/fragile,alligator,fragile
OP,ambulance/a_tool,ambulance,tool
OP,ambulance/a_toy,ambulance,toy
OP,ambulance/an_animal,ambulance,animal
OP,ambulance/flies,ambulance,fly
OP,ambulance/swims,ambulance,swim
OP,ambulance/pairs,ambulance,pairs
OP,ambulance/eaten_in_summer,ambulance,summer
OP,ambulance/found_on_walls,ambulance,walls
OP,ambulance/has_peel,ambulance,peel
OP,ambulance/has_shelves,ambulance,shelves
OP,ambulance/produces_noise,ambulance,sound
OP,ambulance/cold,ambulance,cold
OP,ambulance/dangerous,ambulance,dangerous
OP,ambulance/decorative,ambulance,decorative
OP,ambulance/edible,ambulance,edible
OP,ambulance/electrical,ambulance,electricity
OP,ambulance/expensive,ambulance,expensive
OP,ambulance/fast,ambulance,fast
OP,ambulance/fun,ambulance,fun
OP,ambulance/hand_held,ambulance,hand-held
OP,ambulance/hard,ambulance,hard
OP,ambulance/heavy,ambulance,heavy
OP,ambulance/large,ambulance,big
OP,ambulance/loud,ambulance,loud
OP,ambulance/sharp,ambulance,sharp
OP,ambulance/shiny,ambulance,shiny
OP,ambulance/slimy,ambulance,slimy
OP,ambulance/smelly,ambulance,smelly
OP,ambulance/smooth,ambulance,smooth
OP,ambulance/tall,ambulance,tall
OP,ambulance/lives_in_water,ambulance,water
OP,ambulance/requires_gasoline,ambulance,gasoline
OP,ambulance/used_for_eating,ambulance,eating
OP,ambulance/used_for_cooking,ambulance,cooking
OP,ambulance/used_for_cleaning,ambulance,cleaning
OP,ambulance/used_by_children,ambulance,children
OP,ambulance/used_for_holding_things,ambulance,holding
OP,ambulance/used_for_killing,ambulance,killing
OP,ambulance/used_for_music,ambulance,music
OP,ambulance/used_for_transportation,ambulance,transportation
OP,ambulance/worn_for_warmth,ambulance,warmth
OP,ambulance/worn_on_feet,ambulance,feet
OP,ambulance/hot,ambulance,hot
OP,ambulance/light_weight,ambulance,light
OP,ambulance/squishy,ambulance,squishy
OP,ambulance/unhealthy,ambulance,unhealthy
OP,ambulance/wet,ambulance,wet
OP,ambulance/words_on_it,ambulance,words
OP,ambulance/man_made,ambulance,man-made
OP,ambulance/fragile,ambulance,fragile
OP,anchor/a_tool,anchor,tool
OP,anchor/a_toy,anchor,toy
OP,anchor/an_animal,anchor,animal
OP,anchor/flies,anchor,fly
OP,anchor/swims,anchor,swim
OP,anchor/pairs,anchor,pairs
OP,anchor/eaten_in_summer,anchor,summer
OP,anchor/found_on_walls,anchor,walls
OP,anchor/has_peel,anchor,peel
OP,anchor/has_shelves,anchor,shelves
OP,anchor/produces_noise,anchor,sound
OP,anchor/cold,anchor,cold
OP,anchor/dangerous,anchor,dangerous
OP,anchor/decorative,anchor,decorative
OP,anchor/edible,anchor,edible
OP,anchor/electrical,anchor,electricity
OP,anchor/expensive,anchor,expensive
OP,anchor/fast,anchor,fast
OP,anchor/fun,anchor,fun
OP,anchor/hand_held,anchor,hand-held
OP,anchor/hard,anchor,hard
OP,anchor/heavy,anchor,heavy
OP,anchor/large,anchor,big
OP,anchor/loud,anchor,loud
OP,anchor/sharp,anchor,sharp
OP,anchor/shiny,anchor,shiny
OP,anchor/slimy,anchor,slimy
OP,anchor/smelly,anchor,smelly
OP,anchor/smooth,anchor,smooth
OP,anchor/tall,anchor,tall
OP,anchor/lives_in_water,anchor,water
OP,anchor/requires_gasoline,anchor,gasoline
OP,anchor/used_for_eating,anchor,eating
OP,anchor/used_for_cooking,anchor,cooking
OP,anchor/used_for_cleaning,anchor,cleaning
OP,anchor/used_by_children,anchor,children
OP,anchor/used_for_holding_things,anchor,holding
OP,anchor/used_for_killing,anchor,killing
OP,anchor/used_for_music,anchor,music
OP,anchor/used_for_transportation,anchor,transportation
OP,anchor/worn_for_warmth,anchor,warmth
OP,anchor/worn_on_feet,anchor,feet
OP,anchor/hot,anchor,hot
OP,anchor/light_weight,anchor,light
OP,anchor/squishy,anchor,squishy
OP,anchor/unhealthy,anchor,unhealthy
OP,anchor/wet,anchor,wet
OP,anchor/words_on_it,anchor,words
OP,anchor/man_made,anchor,man-made
OP,anchor/fragile,anchor,fragile
OP,ant/a_tool,ant,tool
OP,ant/a_toy,ant,toy
OP,ant/an_animal,ant,animal
OP,ant/flies,ant,fly
OP,ant/swims,ant,swim
OP,ant/pairs,ant,pairs
OP,ant/eaten_in_summer,ant,summer
OP,ant/found_on_walls,ant,walls
OP,ant/has_peel,ant,peel
OP,ant/has_shelves,ant,shelves
OP,ant/produces_noise,ant,sound
OP,ant/cold,ant,cold
OP,ant/dangerous,ant,dangerous
OP,ant/decorative,ant,decorative
OP,ant/edible,ant,edible
OP,ant/electrical,ant,electricity
OP,ant/expensive,ant,expensive
OP,ant/fast,ant,fast
OP,ant/fun,ant,fun
OP,ant/hand_held,ant,hand-held
OP,ant/hard,ant,hard
OP,ant/heavy,ant,heavy
OP,ant/large,ant,big
OP,ant/loud,ant,loud
OP,ant/sharp,ant,sharp
OP,ant/shiny,ant,shiny
OP,ant/slimy,ant,slimy
OP,ant/smelly,ant,smelly
OP,ant/smooth,ant,smooth
OP,ant/tall,ant,tall
OP,ant/lives_in_water,ant,water
OP,ant/requires_gasoline,ant,gasoline
OP,ant/used_for_eating,ant,eating
OP,ant/used_for_cooking,ant,cooking
OP,ant/used_for_cleaning,ant,cleaning
OP,ant/used_by_children,ant,children
OP,ant/used_for_holding_things,ant,holding
OP,ant/used_for_killing,ant,killing
OP,ant/used_for_music,ant,music
OP,ant/used_for_transportation,ant,transportation
