cocoAnnID,cocoImgID,objectHuman,objectUID,vps
684935,45472,cup,cup,carry;pick up;wipe off;pour into;drink from;drink from;pick up;pour out;build around;decorate with;walk over to;pull out;sit down by;admire;adjust;brush off;bury;drink from;drink from;cheer with;walk up;wipe off;sell;clean around;ask about;clean by;drive off with;empty out;ask for;arrange for;attach for;apply for;admire about;drink out;check out behind;empty from;rinse out;walk to;break;clean up;fill
1794029,452321,bus,bus,arrest from;board in;attack into;check into;ask about;board onto;disembark from;sit on;drive off with;call out from;erupt in;ask from;sleep in;yawn in;dance in;ask about;clean;board;speak about;talk about;ascend;catch;break down on;commute with;work on;ascend to;assemble around;call out onto;gather on;check out after;admire towards;climb up onto;sketch behind;wait for;walk to;climb on;drive;run to;walk over towards;walk to;run to;hang out by;race towards;ascend in;tilt up in;admire about;check out;apply for;walk onto;slouch down in;lean in towards;yawn in;jog over to
590598,110211,zebra,zebra,admire;photograph;pray for;examine;talk about;run after;push against;walk towards;jump up onto;poke at;admire;call out to;communicate with;examine;hang out with;admire at;feed to;light up at;walk over towards;call out to;chase down;shout at;whistle at;nuzzle;admire;bother;sketch;caress;laugh at;applaud at;ask about;talk to;board onto;catch up to;communicate with;gasp at;mime;poke;walk up to;stand up behind;laugh at;circle around;run behind
94226,197796,bottle,bottle,apply from;clean up with;drink from;drop;empty;pump;shake;squeeze;read;press down;push down;squeeze;shake;fill up;clean up around;retrieve;decorate behind;wash around;empty out;pack up;pick up;flip over;rinse off;turn around;block out;arrange behind;clean off;ask about;dust off around;adjust;aim;apply;arrange;examine;retrieve;tip;clean;drop;fill up;adjust around;admire into;browse over
371260,197796,bottle,bottle,pick up;squeeze;read;open up;brush off;pick up;pour out;pick up;lather with;unload at;adjust to;attach on;carry;load up;wash off;uncork;walk over to;pack up;place;adjust;pour out;put down;throw out;rinse out;dry off;smear from;apply from;ask about;press on;apply for;apply;arrange;bubble up;check out;clean;arrange around;salute at;bandage up for
371432,197796,bottle,bottle,pump;pick up;read;pick up;spray with;carry;clean with;attack with;put down onto;water down with;sprinkle with;adjust on;attach around;apply with;aim down;buy towards;tilt;break;decorate;swoop down on;carry;shake;empty out;fill up;carry off;lift towards;knock over;shop for;smell of;clean with;rinse off;spray with;arrange;apply;arrange;clean;display;open
1133279,197796,sink,sink,clean up;clean with;turn on;turn off;wash up at;stand before;fill up;lean over;wash up in;floss over;wipe down;stand up to;lean over;aim at;autograph on;decorate around;fill up with;pack on;fill up;wash up at;stand behind;urinate by;tap;pour into;walk over to;walk up to;check out around;assemble around;arrange around;clean;wash in;unplug;admire;scrub;shave over;spit into;wash up by;brush by;scrub out
2045032,146498,car,car,bike down towards;call out to;run to;walk over to;climb towards;assemble towards;applaud at;bike down after;brush against;drive with;drive off with;clean over;examine to;assemble by;walk over to;run towards;photograph;squint at;admire at;ask about;aim at;assemble onto;cover up on;wave at;admire over;ascend into;call to;climb into;walk towards;drive off in;steer;descend towards;wax;admire about;ask about;drive in;arrange for;call for;march up to;carry on about;run after;hunch down around;walk by
2046535,146498,car,car,drive;drive off with;wash off;wash;sell;drive around;drive behind;signal to;admire;drive;wash off;chase;photograph;aim at;admire at;applaud behind;ask about;buckle up into;walk over to;photograph around;clean up behind;jog over to;sit down in;call at;whistle at;shrug about;wave at;ask about;check out;burn up;camouflage;assemble;bubble over;buy;clean;paint;drive in;run after;wait at;sing in;bake in
1539342,356347,bowl,bowl,bake with;clean;cook with;apply with;arrange from;bake from;eat with;cook with;pour into;pick up;cover;pack up;microwave;fill up;stir;smell;eat from;ask about;break down;dip into;cry into;drink through;serve at;empty out;cook;bake;stand over;eat;give;spread;smell;spill;eat from;stir in;taste from;scoop from;serve from
1093329,255401,toilet,toilet,clean around;brush around;sweep around;wipe around;wipe off around;aim towards;frown at;photograph around;clean;urinate into;poop into;crouch over;clean behind;spray in;sit on;urinate in;check behind;pee in;clean up;empty;fix up;throw out;wash;pee in;sit down on;poop in;throw up in
584606,58384,elephant,elephant,sit down by;walk towards;lecture about;photograph behind;brush off;call over;water down;spray down;walk around;walk towards;admire;ask about;call out to;photograph;walk up behind;call out to;run from;call out to;walk towards;examine around;stand behind;walk behind;walk towards;climb on;ascend towards;walk around;ask about;break down around;clean down;circle around;crouch down behind;admire about;applaud at;call out to;catch up to;communicate with;talk to;admire;bother;call out to;climb up onto
1531561,350388,bowl,bowl,pour out off;microwave over;eat from;rinse out without;tip over;eat from;aim for;drive off with;hunch over;pick up;eat from;empty out;admire;eat from;lift up;microwave;tilt up;lift;tip over;empty out;eat from;eat over;eat from;clean by;dip from;microwave in;ask about;browse about;cover off;feed up from;bet about;break down;give up on;cough over;carry around;rinse out around;clean up;eat from;place
1916173,350388,broccoli,broccoli,scoop up;fish out;spear;eat;scoop over;flip out;wait for;stir around;eat around;throw out;adjust;arrange;bake;bite;brew;bite through;eat around;smash down;scoop up without;spear through;eat;admire;chew;taste;scoop up
75937,224093,cow,cow,gather with;videotape with;attach against;push down;tickle down;milk;pat;walk over to;feed;ask about;interrogate;vote for;whistle to;bother;nuzzle;farm around;tug on;discipline;gasp at;sing to;milk;pat;feed;bow behind;brush off behind;brush against;admire about;ask about;arrange;clean;caress;dust off;examine;apply for;autograph about;buy on;applaud for;browse about
1247331,249643,person,person,attack out;arch behind;arch by;arrange into;autograph of;buckle in for;call out to;grin at;wave at;carry in;pay on;punch on;ask in;wave to;draw;compete with;ignore;wave at;salute;ask about;block against;clean around;distract from;chase behind
348515,26926,car,car,drive;sit in;walk by;wash;repair;blossom by;apprehend of;ail out;attach to;beg of;walk over to;drive;open;sit in;admire after;ask about;grimace towards;turn to;clean off;drive;break into;crash;drive;collide;check;dry off;examine
270041,460229,stop sign,stop_sign,write on;kick over;break down;drive by;balloon like;arrest for;ask after;adjust about;adjust about;admire over;autograph on;drive off around;read;drive by;crash into;destroy;tip over;break down at;bike towards;drive through;buckle up at;drink by;stand by;drive by;skid into
417565,26926,fire hydrant,fire_hydrant,ask about;check out;put down by;hang out around;board in;attach from;attack on;attack from;attach by;admire over;ask about;clean out;giggle at;photograph;pump from;ask from;barbecue from;apprehend before;adjust for;apply about;admire after;camp out by;clean up behind;color on;draw on
331811,248111,refrigerator,refrigerator,turn on;load into;paint around;clean up around;clean;place into;stand towards;empty out;open up;attach like;ask for;attack for;ascend before;ail against;help with;misbehave in;lock down;rinse off;ask about;wipe off;clean around;carry off;hoist off;load into;complain about;ask about
397553,460229,truck,truck,wax on;wrap about;wet against;yawn towards;shrug off at;balloon out onto;ascend before;ascend by;ask over;balloon on;squint at;turn before;wait for;admire;vault over;push;tow;buy;call out to;sit down in;drive in;drive off in;walk by;sit in;walk around;bike behind;signal to;whip around;bubble up in;admire;wait for;walk to;laugh at;wave at;admire into;assemble behind;apply at;ask about;ascend on
402562,460229,traffic light,traffic_light,steer towards;drive off from;turn at;queue up at;signal at;bake off;admire down;attack about;applaud about;adjust about;pull up at;drive through;drive towards;tug at;yank down;shoot at;sit at;stand at;ascend towards;aim for;wipe down;drive through;circle around;drive off from;drive towards;bike to;check out
1132926,248111,sink,sink,turn on;clean;scrub;fill up;repair;attack by;arrest from;apprehend by;bake through;balloon out about;clean in;clean up in;clear out;assemble around;wash up in;clean up around;wash up in;wipe off around;fill;drink from;clean;scrub;fix;wash up at;fill up;wipe down;walk over to;wash in;rinse off;lean through;wipe around;aim by;applaud about;adjust about;adjust against;adjust about;clean up around;mop up around;paint over
407291,460229,traffic light,traffic_light,wait at;drive through;race by;steer towards;ascend of;bake of;bandage like;balloon out by;aim as;ask about;check on;block out;break down;complain over;drive through;check around;race through;race up to;break before;calm down at;complain about;turn after;check;drive off at;ignore;wait at;race through
1430684,248111,handbag,handbag,lift;lock;unpack;bake of;ask for;assemble down;aim after;ail about;lean over;ask about;mend on;clean out;examine;pick up;examine;sniff;flip over;rest by;drag out;arrange by;pack up around;walk by
1870483,248111,bottle,bottle,attach like;balloon behind;applaud for;arrest by;chop down in;open;lift;tilt;pour out;read;clean with;lift up;rinse with;clean with;spray with;open;shelve;knock over;wipe;place;repair;tilt;pour;pour out
270212,343496,stop sign,stop_sign,complain about;ask about;drive through;walk towards;tear down;adjust;push;paint;ascend onto;arrest against;applaud behind;apply against;balloon up on;read;ignore;walk towards;run into;bike around;jog around;swing around;write on;aim at;kick at;stand behind;run towards
1071318,434479,pizza,pizza,attack;bite;chew;admire;eat;chew on;ignore;balloon up into;ascend in;bake on;balloon out off;attack of;bite into;lift;taste;chew on;ask about;clean up after;eat off;trim around;lick on;tear into;wipe out;ask about
348435,343496,car,car,break into;ask about;buckle up in;walk over to;run towards;bike without;beg on;ask against;autograph without;balloon out through;drive;wash;lock up;admire;drive;wash;wash;climb into;drive off in;drive towards;steer towards;wash off;buckle up in;pull up behind
416765,343496,fire hydrant,fire_hydrant,rinse off;paint;write on;grimace at;bounce off;complain about;circle around;grind against;aim about;adjust around;apprehend before;adjust by;arrange at;walk by;pull up to;crash into;clean up with;dive down on;flip over;walk around;collide into;wait around;fall around;jog towards;pee on;paint on;wash off;stand by;lean against;walk by;photograph;walk around;sit on;block;camp out by;drive towards;film around;lean against;jog up to
1074741,434479,pizza,pizza,bite into;pick up;giggle at;taste;eat;slice;throw out;throw up;bathe for;assemble into;aim for;apprehend off;balloon through;arch by;attack around;arch down;arrest without;bandage onto;load up on;destroy in;burn up after;discuss about;camouflage off;bite into;chew through;drool over
430355,343496,person,person,brush by;branch out with;ask about;ask about;race by;drive by;walk around;call out to;attach around;apprehend from;autograph by;arch around;arrest on;walk behind;call out to;bike towards;lean down towards;catch up to;bounce off;adjust for;ask about;walk with;call out to;chase after;talk to;catch up with
1937747,434479,chair,chair,apprehend before;apprehend for;arch behind;applaud after;applaud at;ask about;check behind;bounce around;wipe off;turn around;sit on;brush off;push in;dust;pick up;drag;fill;sit down on;adjust around;clean around;eat on;hang out on;talk from;fall from;trip on
1615836,318114,dining table,dining_table,arrest from;admire from;applaud behind;adjust out;attack about;arrange around;assemble with;brush off;break down;build around;clean;rinse;wipe down;clean up;examine;serve on;eat at;clean off;sell;arrange;sweep off;admire;knock over;sit at
1179360,343496,handbag,handbag,bite down to;bandage up with;attack of;baptize around;bike down without;adjust around;ask about;brush off;clench onto;load up with;carry around;tip over;put down;ask about;hang onto;unload;carry;open up;embrace;browse through;autograph over;decorate around;break into;dive towards;yank on;spill out;dust off
175488,422706,boat,boat,beg into;arrest after;applaud before;adjust down;adjust behind;admire;photograph;wave at;board;climb up onto;ascend onto;swim by;sit down in;jump onto;aim at;ascend onto;dive off;exercise on;swim after;attach off;barbecue with;bike down to;balloon out for;ail by
1929059,318114,cake,cake,bite into;bite down on;slice into;pick out;eat off;slice;lift up;cart off with;adjust down;ask before;arrest as;apply about;ask off;carve out off;lean in around;tear off into;admire about;ask for;eat;chew on;give;serve;slice;spear;bite into;slice off;taste
2038750,343496,car,car,admire;aim behind;assemble behind;assemble around;admire;squint at;photograph;autograph behind;arch without;block without;bake over;autograph like;walk towards;stand up in;ascend towards;cry without;clean up;drive;steer;sell;brush off into;carry on for;pry off down;retrieve from;hang onto
2217400,318114,bowl,bowl,eat from;clean out;rinse off;autograph like;apprehend around;aim behind;admire after;ail down;eat from;clean;wash out;fill up;eat out;bite out;break in;lift;lean over;lick;break off;camouflage around;eat from;dance around;bake in
7981,404484,dog,dog,call out to;exercise with;comb;applaud like;aim in;apprehend after;attach about;bake like;pat;smile at;walk with;run with;pick up around;admire at;call towards;admire;speak to;caress;nuzzle;bathe;whistle for;talk to;complain about;clean up after;glare at
